actor_a,actor_b,actor_c,actor_a_idx,actor_b_idx,actor_c_idx,regime_triplet,k_small,k_mid,k_large,union_topics,sum_support,coverage_efficiency,unique_topics,mean_pairwise_overlap,coverage_efficiency_null,mean_pairwise_overlap_null,coverage_efficiency_resid,mean_pairwise_overlap_resid,triplet_region_1_share_mean,triplet_region_2_share_mean,triplet_region_3_share_mean
Finland,Belgium,Netherlands,13,19,20,2-2-2,13,13,14,24,40,0.6,13,0.357017543859649,0.6775581920415548,0.2403620367123342,-0.0775581920415547,0.1166555071473148,0.20590126054969596,0.6559074637643617,0.13819127568594228
Finland,Belgium,Belarus,13,19,21,2-2-2,12,13,14,24,39,0.6153846153846154,12,0.3012949039264829,0.6811359795335404,0.2353465475282408,-0.065751364148925,0.065948356398242,0.20029179277386752,0.7053811264822839,0.0943270807438486
Finland,Belgium,Canada,13,19,22,1-2-2,6,13,14,21,33,0.6363636363636364,12,0.2945378151260504,0.7078572650467814,0.2081412083095957,-0.071493628683145,0.0863966068164547,0.4075978879816984,0.5218861171136294,0.0705159949046721
Finland,Belgium,Australia,13,19,23,2-2-3,13,14,20,34,47,0.723404255319149,23,0.207471264367816,0.6854485415998037,0.2266105857605302,0.0379557137193452,-0.0191393213927141,0.23497143848327817,0.5100257186185538,0.2550028428981681
Finland,Belgium,Argentina,13,19,24,2-2-2,13,14,16,30,43,0.6976744186046512,19,0.2217948717948718,0.6595678077264009,0.2623507041784387,0.0381066108782502,-0.0405558323835668,0.2641137781125619,0.5643641519336738,0.17152206995376437
Finland,Belgium,Peru,13,19,25,1-2-2,13,13,14,25,40,0.625,15,0.3347117794486214,0.6775581920415548,0.2403620367123342,-0.0525581920415547,0.0943497427362872,0.3900873330345978,0.53939667206073,0.0705159949046721
Finland,Belgium,Poland,13,19,26,2-2-2,11,13,14,28,38,0.7368421052631579,20,0.1924242424242424,0.6904880284988115,0.2213516242542598,0.0463540767643463,-0.0289273818300174,0.2179175734790225,0.6880653233314106,0.09401710318956687
Finland,Belgium,Chile,13,19,27,2-2-2,13,13,14,27,40,0.675,16,0.2359025032938076,0.6775581920415548,0.2403620367123342,-0.0025581920415547,-0.0044595334185265,0.24870071363505633,0.6550507307409305,0.09624855562401317
Finland,Belgium,Brazil,13,19,28,2-2-2,13,14,16,27,43,0.627906976744186,16,0.326984126984127,0.6595678077264009,0.2623507041784387,-0.0316608309822148,0.0646334228056882,0.2531748187592509,0.6743170395749551,0.072508141665794
Finland,Belgium,Romania,13,19,29,2-2-2,9,13,14,22,36,0.6111111111111112,12,0.3342592592592592,0.6765191733971919,0.2372947644706589,-0.0654080622860807,0.0969644947886003,0.2848316933992292,0.6446523116960988,0.0705159949046721
Finland,Belgium,Ecuador,13,19,30,2-2-2,13,13,14,25,40,0.625,13,0.2912698412698412,0.6775581920415548,0.2403620367123342,-0.0525581920415547,0.050907804557507,0.2824121858119038,0.6229299093756834,0.09465790481241287
Finland,Belgium,Portugal,13,19,31,1-2-2,7,13,14,21,34,0.6176470588235294,10,0.2784313725490195,0.7049105719707239,0.2095476506528922,-0.0872635131471945,0.0688837218961272,0.4216931307208213,0.4474318313931702,0.1308750378860085
Finland,Belgium,Colombia,13,19,32,1-2-2,6,13,14,21,33,0.6363636363636364,11,0.2643790849673202,0.7078572650467814,0.2081412083095957,-0.071493628683145,0.0562378766577245,0.38260840482620967,0.5468756002691183,0.0705159949046721
Finland,Belgium,Bulgaria,13,19,33,1-2-2,9,13,14,22,36,0.6111111111111112,13,0.3593137254901961,0.6765191733971919,0.2372947644706589,-0.0654080622860807,0.1220189610195371,0.43517309647803354,0.4943109086172945,0.0705159949046721
Finland,Belgium,Venezuela,13,19,34,1-2-2,5,13,14,21,32,0.65625,13,0.2744047619047619,0.702403920541824,0.2174330632776883,-0.0461539205418239,0.0569716986270734,0.4141143074860992,0.5153696976092287,0.0705159949046721
Finland,Belgium,Türkiye,13,19,35,1-2-2,6,13,14,20,33,0.6060606060606061,8,0.2643790849673202,0.7078572650467814,0.2081412083095957,-0.1017966589861752,0.0562378766577245,0.4163658501075694,0.5131181549877585,0.0705159949046721
Finland,Netherlands,Belarus,13,20,21,2-2-2,12,13,13,25,38,0.6578947368421053,15,0.2687552213868003,0.6917917137086586,0.2227179581998992,-0.0338969768665532,0.0460372631869011,0.13261755402332787,0.7468388722648808,0.12054357371179125
Finland,Netherlands,Canada,13,20,22,1-2-2,6,13,13,21,32,0.65625,13,0.281547619047619,0.7121967456484061,0.206843472475785,-0.055946745648406,0.074704146571834,0.33992364923115875,0.5633438628962263,0.09673248787261475
Finland,Netherlands,Australia,13,20,23,2-2-3,13,13,20,32,46,0.6956521739130435,20,0.2230769230769231,0.6949774712990142,0.2166112189672457,0.0006747026140292,0.0064657041096773,0.16729719973273852,0.5514834644011507,0.28121933586611075
Finland,Netherlands,Argentina,13,20,24,2-2-2,13,13,16,29,42,0.6904761904761905,18,0.2254180602006688,0.6603855536975787,0.2574960961184759,0.0300906367786117,-0.032078035917807,0.19643953936202227,0.6058218977162707,0.197738562921707
Finland,Netherlands,Peru,13,20,25,1-2-2,13,13,13,26,39,0.6666666666666666,18,0.302172096908939,0.6788622570822052,0.238681683721821,-0.0121955904155385,0.0634904131871179,0.3224130942840582,0.5808544178433269,0.09673248787261475
Finland,Netherlands,Poland,13,20,26,2-2-2,11,13,13,29,37,0.7837837837837838,22,0.1447957839262187,0.6901712355774275,0.2248936830178989,0.0936125482063562,-0.0800978990916802,0.15024333472848284,0.7295230691140074,0.12023359615750952
Finland,Netherlands,Chile,13,20,27,2-2-2,13,13,13,27,39,0.6923076923076923,16,0.2040843214756258,0.6788622570822052,0.238681683721821,0.0134454352254871,-0.0345973622461951,0.1810264748845167,0.6965084765235273,0.12246504859195582
Finland,Netherlands,Brazil,13,20,28,2-2-2,13,13,16,28,42,0.6666666666666666,18,0.2803174603174603,0.6603855536975787,0.2574960961184759,0.0062811129690879,0.0228213641989843,0.18550058000871128,0.715774785357552,0.09872463463373665
Finland,Netherlands,Romania,13,20,29,2-2-2,9,13,13,23,35,0.6571428571428571,14,0.2776315789473684,0.6933987542838161,0.2220824008243243,-0.036255897140959,0.055549178123044,0.21715745464868955,0.6861100574786957,0.09673248787261475
Finland,Netherlands,Ecuador,13,20,30,2-2-2,13,13,13,27,39,0.6923076923076923,17,0.2228433402346445,0.6788622570822052,0.238681683721821,0.0134454352254871,-0.0158383434871764,0.21473794706136418,0.6643876551582802,0.12087439778035552
Finland,Netherlands,Portugal,13,20,31,1-2-2,7,13,13,22,33,0.6666666666666666,11,0.2008771929824561,0.7023532015738847,0.2174456460456729,-0.035686534907218,-0.0165684530632168,0.35401889197028175,0.4888895771757671,0.1570915308539511
Finland,Netherlands,Colombia,13,20,32,1-2-2,6,13,13,21,32,0.65625,11,0.2281045751633987,0.7121967456484061,0.206843472475785,-0.055946745648406,0.0212611026876136,0.31493416607567,0.5883333460517152,0.09673248787261475
Finland,Netherlands,Bulgaria,13,20,33,1-2-2,9,13,13,22,35,0.6285714285714286,12,0.2990740740740741,0.6933987542838161,0.2220824008243243,-0.0648273257123875,0.0769916732497497,0.3674988577274938,0.5357686543998913,0.09673248787261475
Finland,Netherlands,Venezuela,13,20,34,1-2-2,5,13,13,21,31,0.6774193548387096,13,0.2369047619047618,0.7129751031548224,0.206639000841767,-0.0355557483161127,0.0302657610629948,0.3464400687355596,0.5568274433918255,0.09673248787261475
Finland,Netherlands,Türkiye,13,20,35,1-2-2,6,13,13,21,32,0.65625,10,0.2074074074074074,0.7121967456484061,0.206843472475785,-0.055946745648406,0.0005639349316223,0.3486916113570297,0.5545759007703553,0.09673248787261475
Finland,Belarus,Canada,13,21,22,1-2-2,6,12,13,19,31,0.6129032258064516,10,0.3195488721804511,0.7155143558201924,0.203938248903796,-0.1026111300137407,0.115610623276655,0.33431418145533026,0.6128175256141485,0.05286829293052111
Finland,Belarus,Australia,13,21,23,2-2-3,12,13,20,32,45,0.7111111111111111,21,0.2155195681511471,0.6990842619711798,0.2117462203830598,0.0120268491399313,0.0037733477680872,0.16168773195691002,0.6009571271190729,0.2373551409240171
Finland,Belarus,Argentina,13,21,24,2-2-2,12,13,16,31,41,0.7560975609756098,23,0.1837246963562753,0.6659560111282176,0.2511557822622048,0.0901415498473922,-0.0674310859059295,0.19083007158619378,0.6552955604341929,0.15387436797961335
Finland,Belarus,Peru,13,21,25,1-2-2,12,13,13,22,38,0.5789473684210527,9,0.3333333333333333,0.6917917137086586,0.2227179581998992,-0.1128443452876059,0.1106153751334341,0.3168036265082297,0.6303280805612491,0.05286829293052111
Finland,Belarus,Poland,13,21,26,2-2-2,11,12,13,25,36,0.6944444444444444,14,0.1855661881977671,0.6965824720580138,0.2184705963933316,-0.0021380276135694,-0.0329044081955644,0.14463386695265437,0.7789967318319296,0.07636940121541587
Finland,Belarus,Chile,13,21,27,2-2-2,12,13,13,29,38,0.7631578947368421,22,0.1777269260106788,0.6917917137086586,0.2227179581998992,0.0713661810281836,-0.0449910321892203,0.17541700710868824,0.7459821392414495,0.07860085364986218
Finland,Belarus,Brazil,13,21,28,2-2-2,12,13,16,24,41,0.5853658536585366,12,0.3655806182121972,0.6659560111282176,0.2511557822622048,-0.080590157469681,0.1144248359499923,0.1798911122328828,0.7652484480754742,0.054860439691643004
Finland,Belarus,Romania,13,21,29,2-2-2,9,12,13,21,34,0.6176470588235294,11,0.3086945304437564,0.6909482568703157,0.2252334757105116,-0.0733011980467862,0.0834610547332448,0.21154798687286105,0.7355837201966179,0.05286829293052111
Finland,Belarus,Ecuador,13,21,30,2-2-2,12,13,13,25,38,0.6578947368421053,15,0.2679615705931495,0.6917917137086586,0.2227179581998992,-0.0338969768665532,0.0452436123932503,0.20912847928553568,0.7138613178762023,0.07701020283826188
Finland,Belarus,Portugal,13,21,31,1-2-2,7,12,13,20,32,0.625,9,0.2510964912280701,0.7153631529586251,0.2028514035094193,-0.090363152958625,0.0482450877186507,0.34840942419445325,0.5383632398936893,0.11322733591185748
