period_idx,period_start,period_end,period_label,period_mid,actor_a,actor_b,collaboration_count,presence_jaccard,specialized_jaccard,presence_active_a,presence_active_b,specialized_active_a,specialized_active_b
0,1961,1970,1961-1970,1965.5,Australia,Finland,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,France,1,0.42857142857142855,0.2727272727272727,14,6,9,5
0,1961,1970,1961-1970,1965.5,Australia,Germany,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Greece,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,IAATO,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,ICAO,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,IGP&I Clubs,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,IHO,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,IMO,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,IOC,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,IOPC Funds,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,IPCC,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,IPY-IPO,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,IUCN,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Iceland,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,India,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Italy,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Japan,2,0.42857142857142855,0.2727272727272727,14,6,9,5
0,1961,1970,1961-1970,1965.5,Australia,Kazakhstan,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Korea (DPRK),0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Korea (ROK),0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Malaysia,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Monaco,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Netherlands,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,New Zealand,4,0.7333333333333333,0.23076923076923078,14,12,9,7
0,1961,1970,1961-1970,1965.5,Australia,Norway,3,0.14285714285714285,0.0,14,2,9,2
0,1961,1970,1961-1970,1965.5,Australia,Peru,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Poland,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Portugal,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Romania,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Russian Federation,9,0.5,0.3,14,7,9,4
0,1961,1970,1961-1970,1965.5,Australia,SCAR,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Slovakia,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,South Africa,1,0.35714285714285715,0.2,14,5,9,3
0,1961,1970,1961-1970,1965.5,Australia,Spain,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Sweden,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Switzerland,0,0.0,0.0,14,0,9,0
0,1961,1970,1961-1970,1965.5,Australia,Türkiye,0,0.0,0.0,14,0,9,0
