member,period_end,prior_breadth,breadth,n_added,retained_fraction,displacement_portfolio,displacement,null_displacement_mean,null_displacement_p05,delta_vs_null
COMNAP,2014,11,12,2,0.8333333333333334,0.1012820512820513,0.6076923076923078,0.6097977977091233,0.5189393939393939,-0.002105490016815592
Chile,2014,11,12,1,0.9166666666666666,0.03787878787878788,0.4545454545454546,0.5987068675168468,0.44999999999999996,-0.14416141297139218
China,2014,8,9,1,0.8888888888888888,0.0625,0.5625,0.6174913433884716,0.4545454545454546,-0.05499134338847156
Colombia,2014,1,1,0,1.0,0.0,,,,
Czechia,2014,2,2,0,1.0,0.0,,,,
Ecuador,2014,8,9,3,0.6666666666666666,0.20959595959595959,0.6287878787878788,0.6473473178666462,0.5414922248803827,-0.018559439078767448
Finland,2014,3,3,1,0.6666666666666666,0.24,0.72,0.6799515736798698,0.48,0.04004842632013017
France,2014,8,12,5,0.5833333333333334,0.2483333333333333,0.5960000000000001,0.6229008041474556,0.5542178235557546,-0.026900804147455548
Germany,2014,14,14,1,0.9285714285714286,0.03896103896103896,0.5454545454545454,0.5740059867083914,0.4375,-0.02855144125384601
IAATO,2014,6,6,0,1.0,0.0,,,,
IHO,2014,3,3,0,1.0,0.0,,,,
IMO,2014,1,1,0,1.0,0.0,,,,
IUCN,2014,4,3,0,1.0,0.0,,,,
India,2014,8,8,1,0.875,0.06770833333333334,0.5416666666666667,0.6167534650271973,0.4375,-0.07508679836053056
Italy,2014,9,9,1,0.8888888888888888,0.05555555555555555,0.5,0.6042262891373599,0.4545454545454546,-0.10422628913735987
Japan,2014,9,8,0,1.0,0.0,,,,
Korea (ROK),2014,8,8,0,1.0,0.0,,,,
Malaysia,2014,1,2,1,0.5,0.3846153846153846,0.7692307692307692,0.7535145888594164,0.5,0.015716180371352806
Netherlands,2014,9,9,0,1.0,0.0,,,,
New Zealand,2014,15,12,2,0.8333333333333334,0.10110722610722611,0.6066433566433567,0.5415507129787048,0.44375,0.06509264366465184
Norway,2014,12,13,2,0.8461538461538461,0.08057779324747649,0.5237556561085972,0.576841261590621,0.47413793103448276,-0.05308560548202379
Peru,2014,3,2,0,1.0,0.0,,,,
Poland,2014,1,2,1,0.5,0.2727272727272727,0.5454545454545454,0.6909997214530602,0.4375,-0.1455451759985148
Portugal,2014,1,2,1,0.5,0.34615384615384615,0.6923076923076923,0.7900549016746038,0.6218750000000001,-0.0977472093669115
Romania,2014,9,8,1,0.875,0.07386363636363635,0.5909090909090908,0.6145991333379264,0.44773706896551724,-0.023690042428835545
Russian Federation,2014,13,12,3,0.75,0.14934855521155832,0.5973942208462333,0.5966035804358506,0.5040849673202614,0.0007906404103826814
SCAR,2014,11,11,0,1.0,0.0,,,,
South Africa,2014,7,9,3,0.6666666666666666,0.2039766081871345,0.6119298245614035,0.6136031095014082,0.5138959176788124,-0.0016732849400046268
Spain,2014,9,7,0,1.0,0.0,,,,
Sweden,2014,2,3,1,0.6666666666666666,0.16666666666666666,0.5,0.7035444322745152,0.5,-0.20354443227451524
UNEP,2014,3,3,0,1.0,0.0,,,,
Ukraine,2014,8,7,0,1.0,0.0,,,,
United Kingdom,2014,13,12,1,0.9166666666666666,0.036458333333333336,0.4375,0.5995387271264019,0.4375,-0.16203872712640188
United States,2014,11,10,0,1.0,0.0,,,,
Uruguay,2014,13,12,0,1.0,0.0,,,,
Venezuela,2014,3,3,0,1.0,0.0,,,,
WMO,2014,2,3,1,0.6666666666666666,0.2456140350877193,0.736842105263158,0.7096738352391709,0.5769230769230769,0.02716827002398703
ASOC,2015,13,11,1,0.9090909090909091,0.051948051948051945,0.5714285714285714,0.5918277872882429,0.4545454545454546,-0.020399215859671527
ATS,2015,1,1,0,1.0,0.0,,,,
Argentina,2015,9,11,2,0.8181818181818182,0.07386363636363637,0.40625,0.603845569543353,0.47779876373626373,-0.197595569543353
Australia,2015,13,14,1,0.9285714285714286,0.03428571428571429,0.48,0.5550725672200651,0.43437500000000007,-0.07507256722006517
Austria,2015,1,1,0,1.0,0.0,,,,
Belarus,2015,2,3,1,0.6666666666666666,0.15,0.44999999999999996,0.7065767446904897,0.5909090909090908,-0.25657674469048974
Belgium,2015,10,9,0,1.0,0.0,,,,
Brazil,2015,8,8,1,0.875,0.07386363636363635,0.5909090909090908,0.6622223656587888,0.5163793103448275,-0.07131327474969795
Bulgaria,2015,4,5,1,0.8,0.13846153846153847,0.6923076923076923,0.6739474287678088,0.5,0.018360263539883515
CCAMLR,2015,3,4,1,0.75,0.15384615384615385,0.6153846153846154,0.7231648365584097,0.5454545454545454,-0.10778022117379427
COMNAP,2015,12,12,1,0.9166666666666666,0.05263157894736842,0.631578947368421,0.5777983613122758,0.44999999999999996,0.05378058605614522
Chile,2015,12,13,2,0.8461538461538461,0.07834319526627218,0.5092307692307692,0.5954718930135585,0.4752650439486139,-0.08624112378278936
China,2015,9,9,0,1.0,0.0,,,,
Colombia,2015,1,3,2,0.3333333333333333,0.4487179487179487,0.673076923076923,0.7455636604774537,0.5769230769230769,-0.07248673740053069
Czechia,2015,2,5,3,0.4,0.36578947368421055,0.6096491228070176,0.6642258205530931,0.5638428381962864,-0.05457669774607554
Ecuador,2015,9,7,1,0.8571428571428571,0.07142857142857142,0.5,0.6105185833625942,0.4375,-0.11051858336259424
Finland,2015,3,5,2,0.6,0.22400000000000003,0.56,0.6547003237043552,0.5578977272727272,-0.0947003237043551
France,2015,12,12,0,1.0,0.0,,,,
Germany,2015,14,11,1,0.9090909090909091,0.04958677685950413,0.5454545454545454,0.5674230261633673,0.4482758620689655,-0.021968480708821847
IAATO,2015,6,6,1,0.8333333333333334,0.09999999999999999,0.6,0.653432711557478,0.5454545454545454,-0.053432711557477974
IHO,2015,3,3,0,1.0,0.0,,,,
IMO,2015,1,1,0,1.0,0.0,,,,
IUCN,2015,3,3,0,1.0,0.0,,,,
India,2015,8,8,0,1.0,0.0,,,,
Italy,2015,9,9,1,0.8888888888888888,0.04273504273504273,0.3846153846153846,0.5976704552266886,0.3846153846153846,-0.21305507061130402
Japan,2015,8,7,0,1.0,0.0,,,,
Korea (ROK),2015,8,7,1,0.8571428571428571,0.08571428571428572,0.6,0.6180192193468963,0.46153846153846156,-0.01801921934689632
Malaysia,2015,2,3,1,0.6666666666666666,0.1923076923076923,0.5769230769230769,0.6975251989389919,0.44999999999999996,-0.12060212201591503
Netherlands,2015,9,10,1,0.9,0.052000000000000005,0.52,0.5978901248026021,0.45423197492163014,-0.07789012480260205
New Zealand,2015,12,13,3,0.7692307692307693,0.1261094674556213,0.5464743589743589,0.5613860022358754,0.48212885154061624,-0.014911643261516505
