actor_i,actor_j,portfolio_emd_1d,geo_km,log_geo_km
China,Ecuador,0.13643675304169703,16107.583658303318,9.68704547474777
China,Estonia,0.24054330236220073,5652.19743323518,8.639799674764598
China,Finland,0.13087727037212854,5492.365394947562,8.61111429689384
China,France,0.04810049052821791,7566.961045264094,8.93154681870507
China,Germany,0.03418109438041137,6797.349925200548,8.824288098322565
China,Greece,0.27927563466028826,6539.701435873077,8.785646791401986
China,Iceland,0.25783723187251956,7469.439624368138,8.918575258494773
China,India,0.07087746704197609,2512.500852671134,7.829033891738869
China,Italy,0.07019981202303063,7070.455717529781,8.8636802147383
China,Japan,0.15437530848917333,3515.496910817336,8.16493616290674
China,Kazakhstan,0.3763227013784256,2915.193775516719,7.977691571881115
China,Korea (DPRK),0.27701680162559,2458.252561157322,7.807206035521747
China,Korea (ROK),0.12250614914334669,2594.6070614642513,7.861190362733552
China,Malaysia,0.34440643435589086,3681.139996161631,8.210977764756235
China,Netherlands,0.061171846486278804,7081.390360282798,8.865225545979035
China,New Zealand,0.0882595970252096,11538.148231693707,9.353414061994988
China,Norway,0.07036531317806738,5719.325322993418,8.651606126891506
China,Peru,0.16101539567500395,16904.369034541847,9.735327390253872
China,Poland,0.027634088076687803,6222.95463959797,8.736000095389183
China,Portugal,0.20160044935567004,8730.79344247232,9.074611531584821
China,Romania,0.19047385590562338,6072.18465422263,8.711473729387546
China,Russian Federation,0.054300048505382975,2617.9362445925944,7.870141593458491
China,Slovakia,0.25783723187251956,6299.992640500635,8.74830374420444
China,South Africa,0.05500522038083785,10483.390590880228,9.257547435214741
China,Spain,0.040562056520938736,8373.674995506362,9.032848134685048
China,Sweden,0.056317107861394454,6149.073551540734,8.724056707427017
China,Switzerland,0.25486157354480304,7160.828568161225,8.876380975069667
China,Türkiye,0.2860134378959235,5458.420506547553,8.604914742373014
China,Ukraine,0.10046549086994704,5498.703177379328,8.612267557487659
China,United Kingdom,0.07981226889518592,7382.371079394655,8.906850150464535
