actor_a,actor_b,actor_c,actor_a_idx,actor_b_idx,actor_c_idx,regime_triplet,k_small,k_mid,k_large,union_topics,sum_support,coverage_efficiency,unique_topics,mean_pairwise_overlap,coverage_efficiency_null,mean_pairwise_overlap_null,coverage_efficiency_resid,mean_pairwise_overlap_resid
Peru,Portugal,Türkiye,25,31,35,1-1-1,6,7,13,20,26,0.7692307692307693,16,0.18192959001782535,0.7120242999656793,0.21545169578157194,0.05720646926508999,-0.03352210576374659
Peru,Colombia,Bulgaria,25,32,33,1-1-1,6,9,13,18,28,0.6428571428571429,10,0.2702614379084967,0.7152095080546694,0.2040657040563421,-0.07235236519752652,0.0661957338521546
Peru,Colombia,Venezuela,25,32,34,1-1-1,5,6,13,16,24,0.6666666666666666,11,0.30912698412698414,0.7182390083734911,0.2145848002530665,-0.051572341706824454,0.09454218387391763
Peru,Colombia,Türkiye,25,32,35,1-1-1,6,6,13,16,25,0.64,9,0.31805555555555554,0.7137525868512076,0.21635073063617954,-0.07375258685120756,0.10170482491937599
Peru,Bulgaria,Venezuela,25,33,34,1-1-1,5,9,13,18,27,0.6666666666666666,12,0.2841864018334606,0.7165916994372168,0.20411722196281354,-0.04992503277055016,0.08006917987064707
Peru,Bulgaria,Türkiye,25,33,35,1-1-1,6,9,13,19,28,0.6785714285714286,12,0.24387254901960786,0.7152095080546694,0.2040657040563421,-0.036638079483240826,0.03980684496326575
Peru,Venezuela,Türkiye,25,34,35,1-1-1,5,6,13,17,24,0.7083333333333334,12,0.2318121693121693,0.7182390083734911,0.2145848002530665,-0.009905675040157713,0.0172273690591028
Poland,Chile,Brazil,26,27,28,2-2-2,11,13,16,26,40,0.65,14,0.25771929824561407,0.6746953375738313,0.23721600329538228,-0.024695337573831244,0.020503294950231787
Poland,Chile,Romania,26,27,29,2-2-2,9,11,13,24,33,0.7272727272727273,17,0.19917440660474717,0.6985869533639457,0.22144191328705398,0.028685773908781576,-0.022267506682306815
Poland,Chile,Ecuador,26,27,30,2-2-2,11,13,13,24,37,0.6486486486486487,13,0.25943646996278574,0.6905337157046135,0.22421494040974455,-0.04188506705596484,0.0352215295530412
Poland,Chile,Portugal,26,27,31,1-2-2,7,11,13,23,31,0.7419354838709677,16,0.17192982456140352,0.7177337321509654,0.203860358321975,0.024201751720002385,-0.03193053376057148
Poland,Chile,Colombia,26,27,32,1-2-2,6,11,13,21,30,0.7,13,0.19466374269005848,0.7153484119359815,0.203914667327906,-0.015348411935981576,-0.009250924637847519
Poland,Chile,Bulgaria,26,27,33,1-2-2,9,11,13,24,33,0.7272727272727273,17,0.20438596491228067,0.6985869533639457,0.22144191328705398,0.028685773908781576,-0.01705594837477331
Poland,Chile,Venezuela,26,27,34,1-2-2,5,11,13,21,29,0.7241379310344828,14,0.1770050125313283,0.7183415842705888,0.20225374194437998,0.005796346763893956,-0.025248729413051674
Poland,Chile,Türkiye,26,27,35,1-2-2,6,11,13,23,30,0.7666666666666667,17,0.14776831785345715,0.7153484119359815,0.203914667327906,0.05131825473068519,-0.05614634947444885
Poland,Brazil,Romania,26,28,29,2-2-2,9,11,16,21,36,0.5833333333333334,9,0.3323529411764706,0.6762081608329286,0.24344678106488085,-0.09287482749959519,0.08890616011158972
Poland,Brazil,Ecuador,26,28,30,2-2-2,11,13,16,22,40,0.55,9,0.40321637426900586,0.6746953375738313,0.23721600329538228,-0.12469533757383122,0.16600037097362358
Poland,Brazil,Portugal,26,28,31,1-2-2,7,11,16,23,34,0.6764705882352942,14,0.23333333333333336,0.7099053072244723,0.20545211197054555,-0.03343471898917816,0.02788122136278781
Poland,Brazil,Colombia,26,28,32,1-2-2,6,11,16,22,33,0.6666666666666666,13,0.23518518518518516,0.7151956950913306,0.19944732242433053,-0.048529028424664,0.03573786276085464
Poland,Brazil,Bulgaria,26,28,33,1-2-2,9,11,16,22,36,0.6111111111111112,11,0.30526315789473685,0.6762081608329286,0.24344678106488085,-0.0650970497218174,0.061816376829855996
Poland,Brazil,Venezuela,26,28,34,1-2-2,5,11,16,22,32,0.6875,14,0.21984126984126984,0.7113478192743372,0.20448696309599843,-0.023847819274337212,0.015354306745271412
Poland,Brazil,Türkiye,26,28,35,1-2-2,6,11,16,22,33,0.6666666666666666,12,0.21157407407407405,0.7151956950913306,0.19944732242433053,-0.048529028424664,0.012126751649743528
Poland,Romania,Ecuador,26,29,30,2-2-2,9,11,13,21,33,0.6363636363636364,12,0.2949346405228758,0.6985869533639457,0.22144191328705398,-0.062223317000309364,0.07349272723582184
Poland,Romania,Portugal,26,29,31,1-2-2,7,9,11,20,27,0.7407407407407407,14,0.17310924369747896,0.7083841457714474,0.21470656856990147,0.03235659496929333,-0.041597324872422514
Poland,Romania,Colombia,26,29,32,1-2-2,6,9,11,20,26,0.7692307692307693,16,0.1866013071895425,0.712743520396534,0.20909324454156195,0.05648724883423528,-0.02249193735201946
Poland,Romania,Bulgaria,26,29,33,1-2-2,9,9,11,19,29,0.6551724137931034,10,0.2373949579831933,0.7051607742149287,0.2190675655285024,-0.049988360421825306,0.018327392454690894
