model,window_end,mean_active_topics_mean,mean_active_topics_q05,mean_active_topics_q25,mean_active_topics_q75,mean_active_topics_q95,mean_topic_popularity_mean,mean_topic_popularity_q05,mean_topic_popularity_q25,mean_topic_popularity_q75,mean_topic_popularity_q95,mean_active_topics_obs,mean_topic_popularity_obs
one_stage,2013,4.956330128205129,4.721794871794872,4.846153846153846,5.102564102564102,5.2012820512820515,4.295486111111111,4.0922222222222215,4.2,4.4222222222222225,4.507777777777777,4.256410256410256,3.688888888888889
one_stage,2014,4.710726351351352,4.486486486486487,4.594594594594595,4.8108108108108105,4.941891891891892,3.873263888888889,3.688888888888889,3.7777777777777777,3.9555555555555557,4.063333333333333,3.891891891891892,3.2
one_stage,2015,4.670731707317073,4.487804878048781,4.585365853658536,4.73780487804878,4.915853658536585,4.2555555555555555,4.088888888888889,4.177777777777778,4.316666666666666,4.478888888888888,3.8292682926829267,3.488888888888889
one_stage,2016,4.642755681818182,4.409090909090909,4.545454545454546,4.75,4.863636363636363,4.539583333333334,4.311111111111111,4.444444444444445,4.644444444444445,4.7555555555555555,3.8863636363636362,3.8
one_stage,2017,5.087053571428571,4.8979591836734695,4.994897959183674,5.183673469387755,5.303061224489795,5.539236111111111,5.333333333333333,5.438888888888889,5.644444444444445,5.774444444444444,3.9183673469387754,4.266666666666667
one_stage,2018,3.834201388888889,3.638888888888889,3.7777777777777777,3.9166666666666665,4.0,3.067361111111111,2.911111111111111,3.022222222222222,3.1333333333333333,3.2,3.138888888888889,2.511111111111111
one_stage,2019,5.551970108695652,5.326086956521739,5.434782608695652,5.673913043478261,5.844565217391304,5.675347222222222,5.444444444444445,5.555555555555555,5.8,5.974444444444444,4.195652173913044,4.288888888888889
one_stage,2021,6.00218023255814,5.747674418604651,5.930232558139535,6.093023255813954,6.205813953488373,5.735416666666667,5.492222222222222,5.666666666666667,5.822222222222222,5.93,4.093023255813954,3.911111111111111
one_stage,2022,5.259084302325581,5.023255813953488,5.1395348837209305,5.372093023255814,5.465116279069767,5.025347222222222,4.8,4.911111111111111,5.133333333333334,5.222222222222222,3.9767441860465116,3.8
one_stage,2023,6.6171875,6.340909090909091,6.4772727272727275,6.784090909090909,6.909090909090909,6.470138888888889,6.2,6.333333333333333,6.633333333333333,6.7555555555555555,4.340909090909091,4.2444444444444445
one_stage,2024,6.220108695652174,6.0,6.086956521739131,6.331521739130435,6.555434782608695,6.358333333333333,6.133333333333334,6.222222222222222,6.472222222222222,6.701111111111111,4.5,4.6
