actor,column_index,k_active,centroid_coord,centroid_xplot,median_xplot,spread_coord,skew_xplot,dominant_region,dominant_region_share,peak_count,largest_peak_x,largest_peak_topic,peak_separation,region_1_share,region_2_share,region_3_share,cluster_id,centroid_xplot_raw_rca,localization_l1_xplot_raw_rca,localization_sd_xplot_raw_rca,entropy_raw_rca,entropy_norm_k_active_raw_rca,support_raw_rca,entropy_norm_support_raw_rca,concentration_hhi_raw_rca,effective_topics_raw_rca,compactness_pairwise_logdist_raw_rca,medoid_radius_logdist_raw_rca,medoid_topic_raw_rca,fuzzy_class
IAATO,24,9,0.1015260996209313,0.462188244612339,0.5652259283677754,0.4739894423121517,-0.9701985034818912,3,0.7269493507842069,4,0.5815045003879167,Site Guidelines for Visitors,0.0535962316813747,0.0466757923847743,0.2263748568310187,0.7269493507842069,2,0.4621882446123389,0.1386971869649688,0.1651741154376574,3.769355064945813,1.1890991311247936,24,0.8221125176820839,0.101758583185229,9.827180849990029,1.252203609984186,1.082843105477039,Tourism and NG_Activities,3
United States,61,19,-0.0017609888007976,0.4261951360254291,0.449159334827253,0.4948336616951201,-0.4446808770210558,3,0.6465958077976195,6,0.5486928120359824,Mineral resources,0.0328116883519342,0.0464546127088526,0.3069495794935279,0.6465958077976195,9,0.426195136025429,0.1478616503449288,0.1724378331309788,4.901640563365767,1.1538898787357716,37,0.9409126484759268,0.0398693631601048,25.08191555466444,1.2945209048065496,1.0679774738052292,Inspections,2+3
United Kingdom,60,22,0.0182500012808325,0.4331684930049464,0.449159334827253,0.4878086807090208,-0.327411355940413,3,0.5522198782553728,6,0.5486928120359824,Mineral resources,0.0585672828288701,0.005859313904279,0.4419208078403481,0.5522198782553728,9,0.4331684930049464,0.1424885993251887,0.1699897933293219,5.128222857777014,1.1499723050679012,41,0.9571951617747446,0.0322455641984378,31.01201746218616,1.3057087471691269,1.0686529591501692,Inspections,2+3
Spain,54,15,-0.18348344749829,0.3628691551257378,0.3369819084088453,0.6136651649182351,0.4290535715777999,2,0.5714184148813536,8,0.5004157993437484,Area Protection and Management Plans General,0.1525202559661553,0.175755628173528,0.5714184148813536,0.2528259569451183,10,0.3628691551257378,0.1631553873935352,0.2138478028030015,4.413080463613159,1.129563358793209,26,0.938865452647146,0.0531227106092312,18.8243406357022,1.301565106309064,1.040111575245186,Nonnative Species and Quarantine,2+3
COMNAP,11,15,-0.1381819959787635,0.3786556400446402,0.377663422851123,0.477178604545753,0.3749986135133065,2,0.8422635911751315,8,0.4714397070089904,Emergency report and contingency planning,0.0913559841395679,0.0526657299801394,0.8422635911751315,0.105070678844729,8,0.3786556400446402,0.1261815536612711,0.1662854630836149,3.889087590761928,0.9954431780437872,23,0.8597400960883207,0.0974917514990076,10.257278022235331,1.244192457476795,0.9858336495050624,Emergency report and contingency planning,2
ASOC,1,16,0.1605485293361611,0.4827561660656908,0.449159334827253,0.6006187386877142,0.5816039172946479,2,0.5283260213361527,6,0.4326060447198917,Institutional and legal matters,0.3530888946119531,0.0571751005607622,0.5283260213361527,0.4144988781030851,8,0.4827561660656908,0.1673091644223119,0.2093014316818705,4.390900423997211,1.0977251059993027,34,0.8630825543126847,0.0684605094137579,14.606961130777645,1.350588577767162,1.1911232742836495,Human Footprint and wilderness values,2+3
Germany,22,19,-0.0346941500425541,0.4147187078793977,0.377663422851123,0.5476923767821282,0.3892334758422219,2,0.6574873547989447,7,0.4326060447198917,Institutional and legal matters,0.0638165731265916,0.0602652122485423,0.6574873547989447,0.2822474329525128,8,0.4147187078793976,0.1511649812676621,0.1908578457478798,4.68063187846059,1.1018624643776542,36,0.9053577909069824,0.0520463409119351,19.21364657876808,1.321123441248968,1.1472648033615562,Environmental Protection General,2+3
IUCN,33,10,-0.2937886506056521,0.3244303994805626,0.3591321581558954,0.3382675714260559,-0.6009041922415163,2,0.7793969481137133,7,0.4326060447198917,Institutional and legal matters,0.0525223218504692,0.2206030518862868,0.7793969481137133,0.0,8,0.3244303994805626,0.0887857764673355,0.1178782519268594,3.53038414621578,1.062751524227524,15,0.9036301528852778,0.1018290534620588,9.820379999629449,1.1969341115615433,0.959662025290047,Nonnative Species and Quarantine,2
Uruguay,62,17,-0.3918321944375602,0.2902645422247301,0.311759645788881,0.4189590124124101,-0.270657296492417,2,0.648557992176214,4,0.4071732495247113,Prevention of marine pollution,0.2832541244603479,0.3432129556185593,0.648557992176214,0.0082290522052268,7,0.2902645422247302,0.1267421487974853,0.1459973115483047,4.350613919980416,1.0643800540703094,28,0.904991204210548,0.0656675163471227,15.228229353367585,1.1724649083449648,1.005276599376015,Environmental Protection General,1+2
Finland,20,13,-0.3435783452118023,0.3070798679489637,0.3052279433304539,0.460293475815371,0.1090570167608667,2,0.7327316651471352,6,0.4071732495247113,Prevention of marine pollution,0.1343691787527519,0.180096713578831,0.7327316651471352,0.0871716212740338,7,0.3070798679489637,0.1260187143341748,0.1604013948890008,3.794148501945339,1.0253236887888884,18,0.9098841107772926,0.0887277989753031,11.27042495755298,1.1719379753262922,0.9267739335929892,Environmental Protection General,2
ACAP,0,3,-0.3777704429599183,0.2951647301919846,0.311759645788881,0.1116778942473486,-2.0836203165642337,2,0.8790239040425727,1,0.311759645788881,Cooperation with Other Organisations,,0.1209760959574272,0.8790239040425727,0.0,4,0.2951647301919846,0.0268745835460863,0.038917106056759,1.267108295772837,0.7994563248003055,3,0.7994563248003055,0.4896280258074313,2.0423667504549585,0.4274474302023622,0.2865985456560931,Cooperation with Other Organisations,2
