draw,pair_key,pair_label,null_mean_jaccard
31,2-3,R2-R3,0.21200543895382654
31,3-3,R3-R3,0.2521018507922923
32,1-1,R1-R1,0.06408528958662647
32,1-2,R1-R2,0.11049400205766487
32,1-3,R1-R3,0.11630346280852787
32,2-2,R2-R2,0.19151875981532912
32,2-3,R2-R3,0.20557749502976214
32,3-3,R3-R3,0.23453890257533427
33,1-1,R1-R1,0.07714935712930365
33,1-2,R1-R2,0.11332771503659982
33,1-3,R1-R3,0.12034331058544304
33,2-2,R2-R2,0.18069640801581258
33,2-3,R2-R3,0.2110457954941786
33,3-3,R3-R3,0.24980698698907963
34,1-1,R1-R1,0.0800236157188029
34,1-2,R1-R2,0.11430752847837859
34,1-3,R1-R3,0.11958420186878148
34,2-2,R2-R2,0.18152766913100082
34,2-3,R2-R3,0.20797372002212552
34,3-3,R3-R3,0.2557162740854392
35,1-1,R1-R1,0.08314412579998001
35,1-2,R1-R2,0.10743510724430096
35,1-3,R1-R3,0.1211301282976734
35,2-2,R2-R2,0.1896804406835666
35,2-3,R2-R3,0.206121780694382
35,3-3,R3-R3,0.23096165411461214
36,1-1,R1-R1,0.09666484733329654
36,1-2,R1-R2,0.12010260141700173
36,1-3,R1-R3,0.12225578810284393
36,2-2,R2-R2,0.18661909738946186
36,2-3,R2-R3,0.20515977183943043
36,3-3,R3-R3,0.23484398926683375
37,1-1,R1-R1,0.06584194425103516
37,1-2,R1-R2,0.1103865003062375
37,1-3,R1-R3,0.12261067048370183
37,2-2,R2-R2,0.1871756100125359
37,2-3,R2-R3,0.2093902069381687
37,3-3,R3-R3,0.23065244804897025
38,1-1,R1-R1,0.09833407457070557
38,1-2,R1-R2,0.10912426133538677
38,1-3,R1-R3,0.12216474081801963
38,2-2,R2-R2,0.19135955801377572
38,2-3,R2-R3,0.20485224975313307
38,3-3,R3-R3,0.24054119908860633
39,1-1,R1-R1,0.08252801491437856
39,1-2,R1-R2,0.11476319173816793
39,1-3,R1-R3,0.11863427401239522
39,2-2,R2-R2,0.18443475273153054
39,2-3,R2-R3,0.20451885926596744
39,3-3,R3-R3,0.2397528003573918
40,1-1,R1-R1,0.07074365796924198
40,1-2,R1-R2,0.10705666659660902
40,1-3,R1-R3,0.10740736102561559
40,2-2,R2-R2,0.19523672668671746
40,2-3,R2-R3,0.2068697757231793
40,3-3,R3-R3,0.23075670851439212
41,1-1,R1-R1,0.10507712726964064
41,1-2,R1-R2,0.11292700123896762
41,1-3,R1-R3,0.11468774689068938
41,2-2,R2-R2,0.18825476989274267
41,2-3,R2-R3,0.20871600884690397
41,3-3,R3-R3,0.22123184253797396
42,1-1,R1-R1,0.07791942410926367
42,1-2,R1-R2,0.12316216483790149
42,1-3,R1-R3,0.11116682448717613
42,2-2,R2-R2,0.1869558750575122
42,2-3,R2-R3,0.20439508831087688
42,3-3,R3-R3,0.23387373721434626
43,1-1,R1-R1,0.06922265907102665
43,1-2,R1-R2,0.11847318673089643
43,1-3,R1-R3,0.12538073443118047
43,2-2,R2-R2,0.18620373269552468
43,2-3,R2-R3,0.2054614928914802
43,3-3,R3-R3,0.22800773258720106
44,1-1,R1-R1,0.06563852189028095
44,1-2,R1-R2,0.11108811899794813
44,1-3,R1-R3,0.1149922621448179
44,2-2,R2-R2,0.19100904082586007
44,2-3,R2-R3,0.20900366762040298
